name,population
종로구,157967
중구,129797
용산구,226938
성동구,306796
광진구,362304
동대문구,358141
중랑구,391668
성북구,438734
강북구,309138
도봉구,328243
노원구,534096
은평구,462552
서대문구,318874
마포구,368181
양천구,445591
강서구,578539
구로구,433765
금천구,249344
영등포구,395286
동작구,397980
관악구,510303
서초구,409491
강남구,507810
송파구,638167
강동구,414231
중구,42766
서구,107028
동구,84557
영도구,120731
부산진구,357723
동래구,258386
남구,282645
북구,291675
해운대구,396311
사하구,326655
금정구,247971
강서구,121351
연제구,199887
수영구,170296
사상구,226961
기장군,160335
중구,76935
동구,342396
서구,183857
남구,150132
북구,444759
수성구,418834
달서구,576746
달성군,250753
중구,119514
동구,65185
연수구,349963
남동구,537389
부평구,525014
계양구,307598
서구,532713
미추홀구,415102
강화군,64432
옹진군,19207
동구,99870
서구,302189
남구,217345
북구,450023
광산구,420665
동구,237297
중구,239284
서구,484492
유성구,365833
대덕구,184308
중구,227054
남구,327561
동구,166992
북구,203675
울주군,224834
세종시,312374
수원시,1218843
장안구,288719
권선구,379834
팔달구,194299
영통구,355991
성남시,931393
수정구,240405
중원구,221034
분당구,469954
의정부시,432286
안양시,566574
만안구,251818
동안구,314756
부천시,848756
광명시,323460
평택시,504485
동두천시,97535
안산시,720105
상록구,367063
단원구,353042
고양시,1006992
덕양구,436865
일산동구,287473
일산서구,282654
과천시,53740
구리시,195868
남양주시,661866
오산시,228059
시흥시,480201
군포시,276860
의왕시,149599
하남시,238592
용인시,1026126
처인구,259524
기흥구,422583
수지구,344019
파주시,447906
이천시,220599
안성시,201135
김포시,424865
화성시,777295
광주시,364178
양주시,217776
포천시,161564
여주시,112096
연천군,43383
가평군,59957
양평군,111094
춘천시,284985
원주시,344168
강릉시,215528
동해시,87830
태백시,43488
속초시,78312
삼척시,67881
홍천군,67177
횡성군,44116
영월군,36762
평창군,40025
정선군,35580
철원군,44346
화천군,23950
양구군,22101
인제군,30373
고성군,28127
양양군,25642
충주시,215224
제천시,136101
청주시,845036
상당구,170120
서원구,216409
흥덕구,258037
청원구,200470
보은군,32507
옥천군,49756
영동군,48475
진천군,83915
괴산군,38453
음성군,105539
단양군,28444
증평군,37485
천안시,671799
동남구,276455
서북구,395344
공주시,110119
보령시,100229
아산시,342272
서산시,174177
논산시,122843
계룡시,41557
당진시,169965
금산군,55015
부여군,66527
서천군,52604
청양군,31181
홍성군,103044
예산군,79136
태안군,60948
전주시,658912
완산구,348108
덕진구,310804
군산시,272204
익산시,294787
정읍시,108271
남원시,78487
김제시,81410
완주군,98002
진안군,23306
무주군,23058
장수군,21281
임실군,26377
순창군,27136
고창군,54425
부안군,50501
목포시,231798
여수시,270947
순천시,268284
나주시,109862
광양시,144027
담양군,43749
곡성군,28116
구례군,24246
고흥군,60664
보성군,39373
화순군,60040
장흥군,35875
강진군,33298
해남군,66209
영암군,57175
무안군,81324
함평군,30600
영광군,49570
장성군,41850
완도군,48340
진도군,29366
신안군,35639
포항시,504382
남구,236268
북구,268114
경주시,264282
김천시,139894
안동시,162186
구미시,422195
영주시,107034
영천시,98686
상주시,97558
문경시,68895
경산시,284517
군위군,22277
의성군,49621
청송군,24160
영양군,16559
영덕군,36096
청도군,40878
고령군,32660
성주군,41299
칠곡군,120983
예천군,51082
봉화군,30872
울진군,48057
울릉군,8729
진주시,352333
통영시,131407
사천시,112248
김해시,539401
밀양시,103762
거제시,252889
양산시,344993
창원시,1044215
의창구,251931
성산구,225894
마산합포구,178431
마산회원구,197683
진해구,190276
의령군,26401
함안군,67520
창녕군,62703
고성군,51778
남해군,42696
하동군,43001
산청군,34122
함양군,38005
거창군,60020
합천군,42856
제주시,482932
서귀포시,175350
